Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01597';[];[];[];[];[];[]
'00:00.03295';[];[];[];[];[];[]
'00:00.04993';[];[];[];[];[];[]
'00:00.06593';[];[];[];[];[];[]
'00:00.08293';[];[];[];[];[];[]
'00:00.09993';[];[];[];[];[];[]
'00:00.11556';[];[];[];[];[];[]
'00:00.13255';[];[];[];[];[];[]
'00:00.14954';[];[];[];[];[];[]
'00:00.16555';[];[];[];[];[];[]
'00:00.18255';[];[];[];[];[];[]
'00:00.19955';[];[];[];[];[];[]
'00:00.21553';[];[];[];[];[];[]
'00:00.23254';[];[];[];[];[];[]
'00:00.24955';[];[];[];[];[];[]
'00:00.26548';[];[];[];[];[];[]
'00:00.28249';[];[];[];[];[];[]
'00:00.29951';[];[];[];[];[];[]
'00:00.31546';[];[];[];[];[];[]
'00:00.33248';[];[];[];[];[];[]
'00:00.34951';[];[];[];[];[];[]
'00:00.36553';[];[];[];[];[];[]
'00:00.38225';[];[];[];[];[];[]
'00:00.39985';[];[];[];[];[];[]
'00:00.41585';[];[];[];[];[];[]
'00:00.43284';[];[];[];[];[];[]
'00:00.44983';[];[];[];[];[];[]
'00:00.46582';[];[];[];[];[];[]
'00:00.48281';[];[];[];[];[];[]
'00:00.49980';[];[];[];[];[];[]
'00:00.51580';[];[];[];[];[];[]
'00:00.53283';[];[];[];[];[];[]
'00:00.54976';[];[];[];[];[];[]
'00:00.56575';[];[];[];[];[];[]
'00:00.58274';[];[];[];[];[];[]
'00:00.59973';[];[];[];[];[];[]
'00:00.61572';[];[];[];[];[];[]
'00:00.63271';[];[];[];[];[];[]
'00:00.64924';[];[];[];[];[];[]
'00:00.66577';[];[];[];[];[];[]
'00:00.68285';[];[];[];[];[];[]
'00:00.69993';[];[];[];[];[];[]
'00:00.71584';[];[];[];[];[];[]
'00:00.73284';[];[];[];[];[];[]
'00:00.74984';[];[];[];[];[];[]
'00:00.76583';[];[];[];[];[];[]
'00:00.78282';[];[];[];[];[];[]
'00:00.79981';[];[];[];[];[];[]
'00:00.81578';[];[];[];[];[];[]
'00:00.83276';[];[];[];[];[];[]
'00:00.84992';[];[];[];[];[];[]
'00:00.86592';[];[];[];[];[];[]
'00:00.88228';[];[];[];[];[];[]
'00:00.89927';[];[];[];[];[];[]
'00:00.91594';[];[];[];[];[];[]
'00:00.93294';[];[];[];[];[];[]
'00:00.94994';[];[];[];[];[];[]
'00:00.96595';[];[];[];[];[];[]
'00:00.98288';[];[];[];[];[];[]
'00:00.99994';[];[];[];[];[];[]
