Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01702';[];[];[];[];[];[]
'00:00.03404';[];[];[];[];[];[]
'00:00.05002';[];[];[];[];[];[]
'00:00.06702';[];[];[];[];[];[]
'00:00.08402';[];[];[];[];[];[]
'00:00.10003';[];[];[];[];[];[]
'00:00.11703';[];[];[];[];[];[]
'00:00.13437';[];[];[];[];[];[]
'00:00.15038';[];[];[];[];[];[]
'00:00.16678';[];[];[];[];[];[]
'00:00.18382';[];[];[];[];[];[]
'00:00.20004';[];[];[];[];[];[]
'00:00.21706';[];[];[];[];[];[]
'00:00.23408';[];[];[];[];[];[]
'00:00.25005';[];[];[];[];[];[]
'00:00.26707';[];[];[];[];[];[]
'00:00.28410';[];[];[];[];[];[]
'00:00.30006';[];[];[];[];[];[]
'00:00.31706';[];[];[];[];[];[]
'00:00.33423';[];[];[];[];[];[]
'00:00.35023';[];[];[];[];[];[]
'00:00.36723';[];[];[];[];[];[]
'00:00.38423';[];[];[];[];[];[]
'00:00.39995';[];[];[];[];[];[]
'00:00.41695';[];[];[];[];[];[]
'00:00.43395';[];[];[];[];[];[]
'00:00.44996';[];[];[];[];[];[]
'00:00.46697';[];[];[];[];[];[]
'00:00.48398';[];[];[];[];[];[]
'00:00.49997';[];[];[];[];[];[]
'00:00.51698';[];[];[];[];[];[]
'00:00.53400';[];[];[];[];[];[]
'00:00.54998';[];[];[];[];[];[]
'00:00.56699';[];[];[];[];[];[]
'00:00.58401';[];[];[];[];[];[]
'00:00.60000';[];[];[];[];[];[]
'00:00.61701';[];[];[];[];[];[]
'00:00.63402';[];[];[];[];[];[]
'00:00.65004';[];[];[];[];[];[]
'00:00.66708';[];[];[];[];[];[]
'00:00.68413';[];[];[];[];[];[]
'00:00.70004';[];[];[];[];[];[]
'00:00.71706';[];[];[];[];[];[]
'00:00.73408';[];[];[];[];[];[]
'00:00.75007';[];[];[];[];[];[]
'00:00.76706';[];[];[];[];[];[]
'00:00.78405';[];[];[];[];[];[]
'00:00.80007';[];[];[];[];[];[]
'00:00.81707';[];[];[];[];[];[]
'00:00.83407';[];[];[];[];[];[]
'00:00.85010';[];[];[];[];[];[]
'00:00.86708';[];[];[];[];[];[]
'00:00.88407';[];[];[];[];[];[]
'00:00.90008';[];[];[];[];[];[]
'00:00.91708';[];[];[];[];[];[]
'00:00.93408';[];[];[];[];[];[]
'00:00.95011';[];[];[];[];[];[]
'00:00.96710';[];[];[];[];[];[]
'00:00.98408';[];[];[];[];[];[]
'00:01.00011';[];[];[];[];[];[]
'00:01.01711';[];[];[];[];[];[]
'00:01.03411';[];[];[];[];[];[]
'00:01.05013';[];[];[];[];[];[]
'00:01.06712';[];[];[];[];[];[]
'00:01.08411';[];[];[];[];[];[]
'00:01.10014';[];[];[];[];[];[]
'00:01.11714';[];[];[];[];[];[]
'00:01.13414';[];[];[];[];[];[]
'00:01.15013';[];[];[];[];[];[]
'00:01.16715';[];[];[];[];[];[]
'00:01.18417';[];[];[];[];[];[]
'00:01.20014';[];[];[];[];[];[]
'00:01.21715';[];[];[];[];[];[]
'00:01.23416';[];[];[];[];[];[]
'00:01.25016';[];[];[];[];[];[]
'00:01.26715';[];[];[];[];[];[]
'00:01.28414';[];[];[];[];[];[]
'00:01.30017';[];[];[];[];[];[]
'00:01.31717';[];[];[];[];[];[]
'00:01.33417';[];[];[];[];[];[]
'00:01.35018';[];[];[];[];[];[]
'00:01.36718';[];[];[];[];[];[]
'00:01.38418';[];[];[];[];[];[]
'00:01.40019';[];[];[];[];[];[]
'00:01.41720';[];[];[];[];[];[]
'00:01.43419';[];[];[];[];[];[]
'00:01.45023';[];[];[];[];[];[]
'00:01.46722';[];[];[];[];[];[]
'00:01.48421';[];[];[];[];[];[]
'00:01.50022';[];[];[];[];[];[]
'00:01.51725';[];[];[];[];[];[]
'00:01.53428';[];[];[];[];[];[]
'00:01.55023';[];[];[];[];[];[]
'00:01.56723';[];[];[];[];[];[]
'00:01.58423';[];[];[];[];[];[]
'00:01.60024';[];[];[];[];[];[]
'00:01.61724';[];[];[];[];[];[]
'00:01.63424';[];[];[];[];[];[]
'00:01.65025';[];[];[];[];[];[]
'00:01.66725';[];[];[];[];[];[]
'00:01.68425';[];[];[];[];[];[]
'00:01.70026';[];[];[];[];[];[]
'00:01.71726';[];[];[];[];[];[]
'00:01.73426';[];[];[];[];[];[]
'00:01.75027';[];[];[];[];[];[]
'00:01.76727';[];[];[];[];[];[]
'00:01.78427';[];[];[];[];[];[]
'00:01.80028';[];[];[];[];[];[]
