Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01573';[];[];[];[];[];[]
'00:00.03263';[];[];[];[];[];[]
'00:00.05064';[];[];[];[];[];[]
'00:00.06651';[];[];[];[];[];[]
'00:00.08336';[];[];[];[];[];[]
'00:00.09996';[];[];[];[];[];[]
'00:00.11626';[];[];[];[];[];[]
'00:00.13326';[];[];[];[];[];[]
'00:00.14972';[];[];[];[];[];[]
'00:00.16581';[];[];[];[];[];[]
'00:00.18280';[];[];[];[];[];[]
'00:00.19978';[];[];[];[];[];[]
'00:00.21578';[];[];[];[];[];[]
'00:00.23277';[];[];[];[];[];[]
'00:00.24976';[];[];[];[];[];[]
'00:00.26577';[];[];[];[];[];[]
'00:00.28274';[];[];[];[];[];[]
'00:00.29971';[];[];[];[];[];[]
'00:00.31573';[];[];[];[];[];[]
'00:00.33273';[];[];[];[];[];[]
'00:00.34973';[];[];[];[];[];[]
'00:00.36581';[];[];[];[];[];[]
'00:00.38280';[];[];[];[];[];[]
'00:00.39978';[];[];[];[];[];[]
'00:00.41582';[];[];[];[];[];[]
'00:00.43337';[];[];[];[];[];[]
'00:00.45036';[];[];[];[];[];[]
'00:00.46570';[];[];[];[];[];[]
'00:00.48267';[];[];[];[];[];[]
'00:00.49965';[];[];[];[];[];[]
'00:00.51637';[];[];[];[];[];[]
'00:00.53336';[];[];[];[];[];[]
'00:00.55035';[];[];[];[];[];[]
'00:00.56636';[];[];[];[];[];[]
'00:00.58345';[];[];[];[];[];[]
'00:00.60054';[];[];[];[];[];[]
'00:00.61645';[];[];[];[];[];[]
'00:00.63344';[];[];[];[];[];[]
'00:00.65043';[];[];[];[];[];[]
'00:00.66635';[];[];[];[];[];[]
'00:00.68327';[];[];[];[];[];[]
'00:00.70045';[];[];[];[];[];[]
'00:00.71637';[];[];[];[];[];[]
'00:00.73335';[];[];[];[];[];[]
'00:00.75033';[];[];[];[];[];[]
'00:00.76634';[];[];[];[];[];[]
'00:00.78332';[];[];[];[];[];[]
'00:00.80029';[];[];[];[];[];[]
'00:00.81631';[];[];[];[];[];[]
'00:00.83333';[];[];[];[];[];[]
'00:00.85035';[];[];[];[];[];[]
'00:00.86626';[];[];[];[];[];[]
'00:00.88326';[];[];[];[];[];[]
'00:00.90026';[];[];[];[];[];[]
'00:00.91628';[];[];[];[];[];[]
'00:00.93327';[];[];[];[];[];[]
'00:00.95026';[];[];[];[];[];[]
'00:00.96624';[];[];[];[];[];[]
'00:00.98323';[];[];[];[];[];[]
'00:01.00038';[];[];[];[];[];[]
'00:01.01637';[];[];[];[];[];[]
'00:01.03340';[];[];[];[];[];[]
'00:01.05042';[];[];[];[];[];[]
'00:01.06602';[];[];[];[];[];[]
'00:01.08321';[];[];[];[];[];[]
'00:01.10005';[];[];[];[];[];[]
'00:01.11612';[];[];[];[];[];[]
'00:01.13311';[];[];[];[];[];[]
'00:01.15009';[];[];[];[];[];[]
'00:01.16606';[];[];[];[];[];[]
'00:01.18342';[];[];[];[];[];[]
'00:01.20022';[];[];[];[];[];[]
'00:01.21645';[];[];[];[];[];[]
'00:01.23306';[];[];[];[];[];[]
'00:01.25013';[];[];[];[];[];[]
'00:01.26609';[];[];[];[];[];[]
'00:01.28311';[];[];[];[];[];[]
'00:01.30012';[];[];[];[];[];[]
'00:01.31607';[];[];[];[];[];[]
'00:01.33338';[];[];[];[];[];[]
'00:01.35035';[];[];[];[];[];[]
'00:01.36614';[];[];[];[];[];[]
'00:01.38316';[];[];[];[];[];[]
'00:01.40018';[];[];[];[];[];[]
'00:01.41613';[];[];[];[];[];[]
'00:01.43316';[];[];[];[];[];[]
'00:01.45020';[];[];[];[];[];[]
'00:01.46624';[];[];[];[];[];[]
'00:01.48308';[];[];[];[];[];[]
'00:01.50041';[];[];[];[];[];[]
'00:01.51637';[];[];[];[];[];[]
'00:01.53336';[];[];[];[];[];[]
'00:01.55035';[];[];[];[];[];[]
'00:01.56635';[];[];[];[];[];[]
'00:01.58333';[];[];[];[];[];[]
'00:01.60031';[];[];[];[];[];[]
'00:01.61630';[];[];[];[];[];[]
'00:01.63330';[];[];[];[];[];[]
'00:01.65030';[];[];[];[];[];[]
'00:01.66628';[];[];[];[];[];[]
'00:01.68328';[];[];[];[];[];[]
'00:01.70028';[];[];[];[];[];[]
'00:01.71627';[];[];[];[];[];[]
'00:01.73324';[];[];[];[];[];[]
'00:01.75021';[];[];[];[];[];[]
'00:01.76644';[];[];[];[];[];[]
'00:01.78306';[];[];[];[];[];[]
'00:01.80042';[];[];[];[];[];[]
'00:01.81638';[];[];[];[];[];[]
'00:01.83310';[];[];[];[];[];[]
'00:01.85013';[];[];[];[];[];[]
'00:01.86618';[];[];[];[];[];[]
'00:01.88322';[];[];[];[];[];[]
'00:01.90025';[];[];[];[];[];[]
'00:01.91613';[];[];[];[];[];[]
'00:01.93313';[];[];[];[];[];[]
'00:01.95013';[];[];[];[];[];[]
'00:01.96620';[];[];[];[];[];[]
'00:01.98321';[];[];[];[];[];[]
'00:02.00022';[];[];[];[];[];[]
'00:02.01620';[];[];[];[];[];[]
'00:02.03337';[];[];[];[];[];[]
'00:02.05042';[];[];[];[];[];[]
'00:02.06565';[];[];[];[];[];[]
'00:02.08312';[];[];[];[];[];[]
'00:02.10021';[];[];[];[];[];[]
'00:02.11616';[];[];[];[];[];[]
'00:02.13316';[];[];[];[];[];[]
'00:02.15040';[];[];[];[];[];[]
'00:02.16641';[];[];[];[];[];[]
'00:02.18303';[];[];[];[];[];[]
'00:02.20001';[];[];[];[];[];[]
'00:02.21603';[];[];[];[];[];[]
'00:02.23296';[];[];[];[];[];[]
'00:02.24989';[];[];[];[];[];[]
'00:02.26578';[];[];[];[];[];[]
'00:02.28275';[];[];[];[];[];[]
'00:02.29972';[];[];[];[];[];[]
'00:02.31573';[];[];[];[];[];[]
'00:02.33273';[];[];[];[];[];[]
'00:02.35003';[];[];[];[];[];[]
'00:02.36601';[];[];[];[];[];[]
'00:02.38301';[];[];[];[];[];[]
'00:02.40014';[];[];[];[];[];[]
'00:02.41615';[];[];[];[];[];[]
'00:02.43304';[];[];[];[];[];[]
'00:02.44993';[];[];[];[];[];[]
'00:02.46603';[];[];[];[];[];[]
'00:02.48303';[];[];[];[];[];[]
'00:02.50003';[];[];[];[];[];[]
'00:02.51603';[];[];[];[];[];[]
'00:02.53302';[];[];[];[];[];[]
'00:02.55037';[];[];[];[];[];[]
'00:02.56617';[];[];[];[];[];[]
'00:02.58338';[];[];[];[];[];[]
'00:02.60035';[];[];[];[];[];[]
'00:02.61585';[];[];[];[];[];[]
'00:02.63324';[];[];[];[];[];[]
'00:02.65001';[];[];[];[];[];[]
'00:02.66634';[];[];[];[];[];[]
'00:02.68337';[];[];[];[];[];[]
'00:02.70041';[];[];[];[];[];[]
'00:02.71644';[];[];[];[];[];[]
'00:02.73338';[];[];[];[];[];[]
'00:02.75033';[];[];[];[];[];[]
'00:02.76619';[];[];[];[];[];[]
'00:02.78324';[];[];[];[];[];[]
'00:02.80028';[];[];[];[];[];[]
'00:02.81624';[];[];[];[];[];[]
'00:02.83317';[];[];[];[];[];[]
'00:02.85011';[];[];[];[];[];[]
'00:02.86618';[];[];[];[];[];[]
'00:02.88324';[];[];[];[];[];[]
'00:02.90030';[];[];[];[];[];[]
'00:02.91627';[];[];[];[];[];[]
'00:02.93337';[];[];[];[];[];[]
'00:02.94978';[];[];[];[];[];[]
'00:02.96564';[];[];[];[];[];[]
'00:02.98264';[];[];[];[];[];[]
'00:02.99964';[];[];[];[];[];[]
'00:03.01559';[];[];[];[];[];[]
'00:03.03358';[];[];[];[];[];[]
'00:03.04958';[];[];[];[];[];[]
'00:03.06582';[];[];[];[];[];[]
'00:03.08278';[];[];[];[];[];[]
'00:03.09975';[];[];[];[];[];[]
'00:03.11633';[];[];[];[];[];[]
'00:03.13335';[];[];[];[];[];[]
'00:03.15037';[];[];[];[];[];[]
'00:03.16640';[];[];[];[];[];[]
'00:03.18309';[];[];[];[];[];[]
'00:03.19997';[];[];[];[];[];[]
'00:03.21596';[];[];[];[];[];[]
'00:03.23322';[];[];[];[];[];[]
'00:03.25047';[];[];[];[];[];[]
'00:03.26636';[];[];[];[];[];[]
'00:03.28335';[];[];[];[];[];[]
'00:03.30034';[];[];[];[];[];[]
'00:03.31635';[];[];[];[];[];[]
'00:03.33342';[];[];[];[];[];[]
'00:03.35048';[];[];[];[];[];[]
'00:03.36642';[];[];[];[];[];[]
'00:03.38347';[];[];[];[];[];[]
'00:03.40041';[];[];[];[];[];[]
'00:03.41641';[];[];[];[];[];[]
'00:03.43339';[];[];[];[];[];[]
'00:03.45038';[];[];[];[];[];[]
'00:03.46645';[];[];[];[];[];[]
'00:03.48265';[];[];[];[];[];[]
'00:03.49977';[];[];[];[];[];[]
'00:03.51572';[];[];[];[];[];[]
'00:03.53272';[];[];[];[];[];[]
'00:03.54972';[];[];[];[];[];[]
'00:03.56587';[];[];[];[];[];[]
'00:03.58320';[];[];[];[];[];[]
'00:03.60018';[];[];[];[];[];[]
'00:03.61618';[];[];[];[];[];[]
'00:03.63340';[];[];[];[];[];[]
'00:03.65047';[];[];[];[];[];[]
'00:03.66646';[];[];[];[];[];[]
'00:03.68345';[];[];[];[];[];[]
'00:03.70044';[];[];[];[];[];[]
'00:03.71648';[];[];[];[];[];[]
'00:03.73350';[];[];[];[];[];[]
'00:03.75038';[];[];[];[];[];[]
'00:03.76643';[];[];[];[];[];[]
'00:03.78344';[];[];[];[];[];[]
'00:03.80045';[];[];[];[];[];[]
'00:03.81647';[];[];[];[];[];[]
'00:03.83338';[];[];[];[];[];[]
'00:03.85029';[];[];[];[];[];[]
'00:03.86632';[];[];[];[];[];[]
'00:03.88335';[];[];[];[];[];[]
'00:03.90038';[];[];[];[];[];[]
'00:03.91643';[];[];[];[];[];[]
'00:03.93343';[];[];[];[];[];[]
'00:03.95043';[];[];[];[];[];[]
'00:03.96643';[];[];[];[];[];[]
'00:03.98347';[];[];[];[];[];[]
'00:04.00012';[];[];[];[];[];[]
'00:04.01611';[];[];[];[];[];[]
'00:04.03307';[];[];[];[];[];[]
'00:04.05004';[];[];[];[];[];[]
'00:04.06608';[];[];[];[];[];[]
'00:04.08308';[];[];[];[];[];[]
'00:04.10036';[];[];[];[];[];[]
'00:04.11637';[];[];[];[];[];[]
'00:04.13334';[];[];[];[];[];[]
'00:04.15031';[];[];[];[];[];[]
'00:04.16640';[];[];[];[];[];[]
'00:04.18318';[];[];[];[];[];[]
'00:04.20040';[];[];[];[];[];[]
'00:04.21637';[];[];[];[];[];[]
'00:04.23338';[];[];[];[];[];[]
'00:04.25039';[];[];[];[];[];[]
'00:04.26648';[];[];[];[];[];[]
'00:04.28310';[];[];[];[];[];[]
'00:04.30034';[];[];[];[];[];[]
'00:04.31635';[];[];[];[];[];[]
'00:04.33334';[];[];[];[];[];[]
'00:04.35033';[];[];[];[];[];[]
'00:04.36633';[];[];[];[];[];[]
'00:04.38306';[];[];[];[];[];[]
'00:04.40011';[];[];[];[];[];[]
'00:04.41613';[];[];[];[];[];[]
'00:04.43318';[];[];[];[];[];[]
'00:04.45024';[];[];[];[];[];[]
'00:04.46621';[];[];[];[];[];[]
'00:04.48330';[];[];[];[];[];[]
'00:04.50038';[];[];[];[];[];[]
'00:04.51601';[];[];[];[];[];[]
'00:04.53321';[];[];[];[];[];[]
'00:04.55014';[];[];[];[];[];[]
'00:04.56608';[];[];[];[];[];[]
'00:04.58307';[];[];[];[];[];[]
'00:04.60006';[];[];[];[];[];[]
'00:04.61644';[];[];[];[];[];[]
'00:04.63261';[];[];[];[];[];[]
'00:04.64958';[];[];[];[];[];[]
'00:04.66638';[];[];[];[];[];[]
'00:04.68289';[];[];[];[];[];[]
'00:04.69994';[];[];[];[];[];[]
'00:04.71581';[];[];[];[];[];[]
'00:04.73278';[];[];[];[];[];[]
'00:04.74993';[];[];[];[];[];[]
'00:04.76594';[];[];[];[];[];[]
'00:04.78300';[];[];[];[];[];[]
'00:04.80005';[];[];[];[];[];[]
'00:04.81596';[];[];[];[];[];[]
'00:04.83296';[];[];[];[];[];[]
'00:04.84996';[];[];[];[];[];[]
'00:04.86639';[];[];[];[];[];[]
'00:04.88301';[];[];[];[];[];[]
'00:04.90037';[];[];[];[];[];[]
'00:04.91638';[];[];[];[];[];[]
'00:04.93335';[];[];[];[];[];[]
'00:04.94997';[];[];[];[];[];[]
'00:04.96632';[];[];[];[];[];[]
'00:04.98342';[];[];[];[];[];[]
'00:05.00037';[];[];[];[];[];[]
'00:05.01617';[];[];[];[];[];[]
'00:05.03315';[];[];[];[];[];[]
'00:05.05034';[];[];[];[];[];[]
'00:05.06635';[];[];[];[];[];[]
'00:05.08336';[];[];[];[];[];[]
'00:05.10037';[];[];[];[];[];[]
'00:05.11633';[];[];[];[];[];[]
'00:05.13332';[];[];[];[];[];[]
'00:05.15002';[];[];[];[];[];[]
'00:05.16601';[];[];[];[];[];[]
'00:05.18322';[];[];[];[];[];[]
'00:05.20022';[];[];[];[];[];[]
'00:05.21619';[];[];[];[];[];[]
'00:05.23325';[];[];[];[];[];[]
'00:05.25006';[];[];[];[];[];[]
'00:05.26603';[];[];[];[];[];[]
'00:05.28302';[];[];[];[];[];[]
'00:05.30037';[];[];[];[];[];[]
'00:05.31563';[];[];[];[];[];[]
'00:05.33298';[];[];[];[];[];[]
'00:05.34998';[];[];[];[];[];[]
'00:05.36596';[];[];[];[];[];[]
'00:05.38295';[];[];[];[];[];[]
'00:05.39994';[];[];[];[];[];[]
'00:05.41593';[];[];[];[];[];[]
'00:05.43343';[];[];[];[];[];[]
'00:05.45004';[];[];[];[];[];[]
'00:05.46651';[];[];[];[];[];[]
'00:05.48278';[];[];[];[];[];[]
'00:05.49987';[];[];[];[];[];[]
'00:05.51627';[];[];[];[];[];[]
'00:05.53289';[];[];[];[];[];[]
'00:05.55062';[];[];[];[];[];[]
'00:05.56563';[];[];[];[];[];[]
'00:05.58295';[];[];[];[];[];[]
'00:05.59983';[];[];[];[];[];[]
'00:05.61634';[];[];[];[];[];[]
'00:05.63285';[];[];[];[];[];[]
'00:05.65025';[];[];[];[];[];[]
'00:05.66589';[];[];[];[];[];[]
'00:05.68261';[];[];[];[];[];[]
'00:05.69998';[];[];[];[];[];[]
'00:05.71565';[];[];[];[];[];[]
'00:05.73270';[];[];[];[];[];[]
'00:05.74974';[];[];[];[];[];[]
'00:05.76630';[];[];[];[];[];[]
'00:05.78329';[];[];[];[];[];[]
'00:05.80030';[];[];[];[];[];[]
'00:05.81656';[];[];[];[];[];[]
'00:05.83356';[];[];[];[];[];[]
'00:05.85056';[];[];[];[];[];[]
'00:05.86660';[];[];[];[];[];[]
'00:05.88320';[];[];[];[];[];[]
'00:05.90015';[];[];[];[];[];[]
'00:05.91618';[];[];[];[];[];[]
'00:05.93313';[];[];[];[];[];[]
'00:05.95007';[];[];[];[];[];[]
'00:05.96612';[];[];[];[];[];[]
'00:05.98310';[];[];[];[];[];[]
'00:06.00007';[];[];[];[];[];[]
'00:06.01612';[];[];[];[];[];[]
'00:06.03263';[];[];[];[];[];[]
'00:06.04961';[];[];[];[];[];[]
'00:06.06564';[];[];[];[];[];[]
'00:06.08317';[];[];[];[];[];[]
'00:06.10013';[];[];[];[];[];[]
'00:06.11614';[];[];[];[];[];[]
'00:06.13313';[];[];[];[];[];[]
'00:06.15012';[];[];[];[];[];[]
'00:06.16614';[];[];[];[];[];[]
'00:06.18308';[];[];[];[];[];[]
'00:06.20024';[];[];[];[];[];[]
'00:06.21618';[];[];[];[];[];[]
'00:06.23335';[];[];[];[];[];[]
'00:06.25034';[];[];[];[];[];[]
