Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01702';[];[];[];[];[];[]
'00:00.03404';[];[];[];[];[];[]
'00:00.04997';[];[];[];[];[];[]
'00:00.06776';[];[];[];[];[];[]
'00:00.08447';[];[];[];[];[];[]
'00:00.10053';[];[];[];[];[];[]
'00:00.11747';[];[];[];[];[];[]
'00:00.13442';[];[];[];[];[];[]
'00:00.15050';[];[];[];[];[];[]
'00:00.16753';[];[];[];[];[];[]
'00:00.18456';[];[];[];[];[];[]
'00:00.20084';[];[];[];[];[];[]
'00:00.21783';[];[];[];[];[];[]
'00:00.23482';[];[];[];[];[];[]
'00:00.25087';[];[];[];[];[];[]
'00:00.26785';[];[];[];[];[];[]
'00:00.28483';[];[];[];[];[];[]
'00:00.30085';[];[];[];[];[];[]
'00:00.31785';[];[];[];[];[];[]
'00:00.33445';[];[];[];[];[];[]
'00:00.35045';[];[];[];[];[];[]
'00:00.36744';[];[];[];[];[];[]
'00:00.38443';[];[];[];[];[];[]
'00:00.39997';[];[];[];[];[];[]
'00:00.41700';[];[];[];[];[];[]
'00:00.43402';[];[];[];[];[];[]
'00:00.45042';[];[];[];[];[];[]
'00:00.46745';[];[];[];[];[];[]
'00:00.48448';[];[];[];[];[];[]
'00:00.49994';[];[];[];[];[];[]
'00:00.51695';[];[];[];[];[];[]
'00:00.53396';[];[];[];[];[];[]
'00:00.54995';[];[];[];[];[];[]
'00:00.56695';[];[];[];[];[];[]
'00:00.58395';[];[];[];[];[];[]
'00:00.60005';[];[];[];[];[];[]
'00:00.61706';[];[];[];[];[];[]
'00:00.63407';[];[];[];[];[];[]
'00:00.65006';[];[];[];[];[];[]
'00:00.66707';[];[];[];[];[];[]
'00:00.68408';[];[];[];[];[];[]
'00:00.70007';[];[];[];[];[];[]
'00:00.71707';[];[];[];[];[];[]
'00:00.73407';[];[];[];[];[];[]
'00:00.75008';[];[];[];[];[];[]
'00:00.76710';[];[];[];[];[];[]
'00:00.78411';[];[];[];[];[];[]
'00:00.80008';[];[];[];[];[];[]
'00:00.81710';[];[];[];[];[];[]
'00:00.83411';[];[];[];[];[];[]
'00:00.85011';[];[];[];[];[];[]
'00:00.86711';[];[];[];[];[];[]
'00:00.88411';[];[];[];[];[];[]
'00:00.90012';[];[];[];[];[];[]
'00:00.91712';[];[];[];[];[];[]
'00:00.93412';[];[];[];[];[];[]
'00:00.95013';[];[];[];[];[];[]
'00:00.96713';[];[];[];[];[];[]
'00:00.98413';[];[];[];[];[];[]
'00:01.00014';[];[];[];[];[];[]
'00:01.01713';[];[];[];[];[];[]
'00:01.03412';[];[];[];[];[];[]
'00:01.05014';[];[];[];[];[];[]
'00:01.06715';[];[];[];[];[];[]
'00:01.08416';[];[];[];[];[];[]
'00:01.10015';[];[];[];[];[];[]
'00:01.11716';[];[];[];[];[];[]
'00:01.13417';[];[];[];[];[];[]
'00:01.15017';[];[];[];[];[];[]
'00:01.16718';[];[];[];[];[];[]
'00:01.18419';[];[];[];[];[];[]
'00:01.20018';[];[];[];[];[];[]
'00:01.21720';[];[];[];[];[];[]
'00:01.23421';[];[];[];[];[];[]
'00:01.25020';[];[];[];[];[];[]
'00:01.26721';[];[];[];[];[];[]
'00:01.28422';[];[];[];[];[];[]
'00:01.30021';[];[];[];[];[];[]
'00:01.31721';[];[];[];[];[];[]
'00:01.33421';[];[];[];[];[];[]
'00:01.35022';[];[];[];[];[];[]
'00:01.36723';[];[];[];[];[];[]
'00:01.38424';[];[];[];[];[];[]
'00:01.40024';[];[];[];[];[];[]
'00:01.41724';[];[];[];[];[];[]
'00:01.43424';[];[];[];[];[];[]
'00:01.45025';[];[];[];[];[];[]
'00:01.46725';[];[];[];[];[];[]
'00:01.48425';[];[];[];[];[];[]
'00:01.50026';[];[];[];[];[];[]
'00:01.51726';[];[];[];[];[];[]
'00:01.53426';[];[];[];[];[];[]
'00:01.55027';[];[];[];[];[];[]
'00:01.56727';[];[];[];[];[];[]
'00:01.58427';[];[];[];[];[];[]
'00:01.60028';[];[];[];[];[];[]
'00:01.61729';[];[];[];[];[];[]
'00:01.63431';[];[];[];[];[];[]
'00:01.65028';[];[];[];[];[];[]
'00:01.66731';[];[];[];[];[];[]
'00:01.68433';[];[];[];[];[];[]
'00:01.70031';[];[];[];[];[];[]
'00:01.71731';[];[];[];[];[];[]
'00:01.73431';[];[];[];[];[];[]
'00:01.75032';[];[];[];[];[];[]
'00:01.76732';[];[];[];[];[];[]
'00:01.78432';[];[];[];[];[];[]
'00:01.80033';[];[];[];[];[];[]
