Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01658';[];[];[];[];[];[]
'00:00.03317';[];[];[];[];[];[]
'00:00.04994';[];[];[];[];[];[]
'00:00.06671';[];[];[];[];[];[]
'00:00.08331';[];[];[];[];[];[]
'00:00.09991';[];[];[];[];[];[]
'00:00.11664';[];[];[];[];[];[]
'00:00.13337';[];[];[];[];[];[]
'00:00.14997';[];[];[];[];[];[]
'00:00.16657';[];[];[];[];[];[]
'00:00.18332';[];[];[];[];[];[]
'00:00.20006';[];[];[];[];[];[]
'00:00.21665';[];[];[];[];[];[]
'00:00.23324';[];[];[];[];[];[]
'00:00.24997';[];[];[];[];[];[]
'00:00.26671';[];[];[];[];[];[]
'00:00.28331';[];[];[];[];[];[]
'00:00.29991';[];[];[];[];[];[]
'00:00.31662';[];[];[];[];[];[]
'00:00.33333';[];[];[];[];[];[]
'00:00.34994';[];[];[];[];[];[]
'00:00.36655';[];[];[];[];[];[]
'00:00.38330';[];[];[];[];[];[]
'00:00.39993';[];[];[];[];[];[]
'00:00.41656';[];[];[];[];[];[]
'00:00.43331';[];[];[];[];[];[]
'00:00.44995';[];[];[];[];[];[]
'00:00.46660';[];[];[];[];[];[]
'00:00.48324';[];[];[];[];[];[]
'00:00.49988';[];[];[];[];[];[]
'00:00.51664';[];[];[];[];[];[]
'00:00.53328';[];[];[];[];[];[]
'00:00.54993';[];[];[];[];[];[]
'00:00.56657';[];[];[];[];[];[]
'00:00.58322';[];[];[];[];[];[]
'00:00.59986';[];[];[];[];[];[]
'00:00.61651';[];[];[];[];[];[]
'00:00.63327';[];[];[];[];[];[]
'00:00.65004';[];[];[];[];[];[]
'00:00.66658';[];[];[];[];[];[]
'00:00.68331';[];[];[];[];[];[]
'00:00.70003';[];[];[];[];[];[]
'00:00.71657';[];[];[];[];[];[]
'00:00.73380';[];[];[];[];[];[]
'00:00.74995';[];[];[];[];[];[]
'00:00.76661';[];[];[];[];[];[]
'00:00.78326';[];[];[];[];[];[]
'00:00.79992';[];[];[];[];[];[]
'00:00.81657';[];[];[];[];[];[]
'00:00.83323';[];[];[];[];[];[]
'00:00.84988';[];[];[];[];[];[]
'00:00.86654';[];[];[];[];[];[]
'00:00.88320';[];[];[];[];[];[]
'00:00.89997';[];[];[];[];[];[]
'00:00.91658';[];[];[];[];[];[]
'00:00.93320';[];[];[];[];[];[]
'00:00.95002';[];[];[];[];[];[]
'00:00.96664';[];[];[];[];[];[]
'00:00.98326';[];[];[];[];[];[]
'00:00.99988';[];[];[];[];[];[]
'00:01.01651';[];[];[];[];[];[]
'00:01.03328';[];[];[];[];[];[]
'00:01.04993';[];[];[];[];[];[]
'00:01.06657';[];[];[];[];[];[]
'00:01.08322';[];[];[];[];[];[]
'00:01.09986';[];[];[];[];[];[]
'00:01.11651';[];[];[];[];[];[]
'00:01.13329';[];[];[];[];[];[]
'00:01.14993';[];[];[];[];[];[]
'00:01.16656';[];[];[];[];[];[]
'00:01.18320';[];[];[];[];[];[]
'00:01.20042';[];[];[];[];[];[]
'00:01.21662';[];[];[];[];[];[]
'00:01.23326';[];[];[];[];[];[]
'00:01.24991';[];[];[];[];[];[]
'00:01.26655';[];[];[];[];[];[]
'00:01.28319';[];[];[];[];[];[]
'00:01.29984';[];[];[];[];[];[]
'00:01.31663';[];[];[];[];[];[]
'00:01.33328';[];[];[];[];[];[]
'00:01.34994';[];[];[];[];[];[]
'00:01.36660';[];[];[];[];[];[]
'00:01.38325';[];[];[];[];[];[]
'00:01.39991';[];[];[];[];[];[]
'00:01.41656';[];[];[];[];[];[]
'00:01.43322';[];[];[];[];[];[]
'00:01.44987';[];[];[];[];[];[]
'00:01.46653';[];[];[];[];[];[]
'00:01.48318';[];[];[];[];[];[]
'00:01.49984';[];[];[];[];[];[]
'00:01.51649';[];[];[];[];[];[]
'00:01.53328';[];[];[];[];[];[]
'00:01.54993';[];[];[];[];[];[]
'00:01.56657';[];[];[];[];[];[]
'00:01.58322';[];[];[];[];[];[]
'00:01.59986';[];[];[];[];[];[]
'00:01.61651';[];[];[];[];[];[]
'00:01.63327';[];[];[];[];[];[]
'00:01.65004';[];[];[];[];[];[]
'00:01.66658';[];[];[];[];[];[]
'00:01.68326';[];[];[];[];[];[]
'00:01.69994';[];[];[];[];[];[]
'00:01.71662';[];[];[];[];[];[]
'00:01.73330';[];[];[];[];[];[]
'00:01.74997';[];[];[];[];[];[]
'00:01.76665';[];[];[];[];[];[]
'00:01.78333';[];[];[];[];[];[]
'00:01.80001';[];[];[];[];[];[]
'00:01.81658';[];[];[];[];[];[]
'00:01.83316';[];[];[];[];[];[]
'00:01.84995';[];[];[];[];[];[]
'00:01.86660';[];[];[];[];[];[]
'00:01.88324';[];[];[];[];[];[]
'00:01.89988';[];[];[];[];[];[]
'00:01.91653';[];[];[];[];[];[]
'00:01.93328';[];[];[];[];[];[]
'00:01.94992';[];[];[];[];[];[]
'00:01.96655';[];[];[];[];[];[]
'00:01.98318';[];[];[];[];[];[]
'00:01.99995';[];[];[];[];[];[]
'00:02.01662';[];[];[];[];[];[]
'00:02.03328';[];[];[];[];[];[]
